Data Source;World Development Indicators;;;;;;;;;;;;;;;;;;;;;;;;;
Last Updated Date;25/05/22;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
Country Name;Country Code;Indicator Name;Indicator Code;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
Botswana;BWA;Population, female;SP.POP.TOTL.FE.IN;831779;847900;863288;878119;892835;908062;924207;941550;959935;978824;997437;1015242;1031977;1047927;1063856;1080798;1099500;1120211;1142607;1166046;1189587;1212526;
Central African Republic;CAF;Population, female;SP.POP.TOTL.FE.IN;1804003;1845398;1886113;1925842;1964888;2003719;2042502;2081976;2121636;2159049;2190888;2215124;2230666;2239125;2244484;2252275;2266606;2288847;2318147;2353555;2393206;2435722;
Canada;CAN;Population, female;SP.POP.TOTL.FE.IN;15344448;15485188;15651822;15820650;15961652;16108836;16258927;16420787;16577534;16754826;16945066;17133868;17303497;17494958;17683847;17864828;17999309;18202997;18419735;18677663;18943318;19158588;
Central Europe and the Baltics;CEB;Population, female;SP.POP.TOTL.FE.IN;56239007;55949119;55570144;55236846;55088854;54959586;54826957;54700453;54506222;54315700;54209377;54004628;53861514;53718055;53581251;53447753;53307441;53158783;53019188;52910281;52834692;52714426;
Switzerland;CHE;Population, female;SP.POP.TOTL.FE.IN;3654041;3674151;3696880;3724183;3750766;3774846;3796494;3816924;3846987;3891454;3935497;3971919;4011709;4050081;4092758;4139234;4183323;4226492;4263869;4293531;4322594;4351871;
Channel Islands;CHI;Population, female;SP.POP.TOTL.FE.IN;75779;76142;76393;76555;76715;76956;77354;77938;78691;79518;80327;81036;81623;82104;82560;83062;83671;84408;85256;86150;87010;87789;
Chile;CHL;Population, female;SP.POP.TOTL.FE.IN;7703459;7794185;7882066;7967282;8051012;8134816;8219838;8306863;8395791;8485911;8576060;8665530;8752531;8837489;8924483;9019145;9124556;9243814;9373183;9500750;9610261;9690540;
China;CHN;Population, female;SP.POP.TOTL.FE.IN;610004104;614775825;619165993;623205125;626956157;630545489;634130240;637560457;640793072;644001246;647159372;650275748;653862696;658376480;662872951;667184667;671212022;675220615;679486853;682854786;685480283;687245874;
Cote d'Ivoire;CIV;Population, female;SP.POP.TOTL.FE.IN;7758050;7975896;8183406;8382363;8576950;8773074;8975373;9185251;9402489;9628035;9862515;10106430;10360527;10625267;10900328;11185031;11478829;11781686;12093608;12414060;12742348;13077895;
Cameroon;CMR;Population, female;SP.POP.TOTL.FE.IN;7590734;7791677;7998955;8212674;8433249;8661010;8896229;9139126;9389810;9648222;9914162;10187444;10468054;10755870;11050423;11351123;11657496;11969336;12286573;12609010;12936459;13268789;
Congo, Dem. Rep.;COD;Population, female;SP.POP.TOTL.FE.IN;23157971;23746689;24403745;25121036;25893609;26710607;27564081;28454736;29386784;30359388;31371535;32422236;33510549;34635680;35796890;36993480;38224572;39489787;40787891;42116217;43471465;44851232;
Congo, Rep.;COG;Population, female;SP.POP.TOTL.FE.IN;1540143;1584091;1628635;1674007;1721311;1772069;1827170;1887302;1951730;2018345;2084233;2147328;2206804;2263417;2318674;2374824;2433522;2495201;2559385;2625622;2693146;2761414;
Colombia;COL;Population, female;SP.POP.TOTL.FE.IN;19875544;20202658;20525349;20842746;21153274;21455009;21746639;22029131;22303332;22567928;22821214;23063041;23288625;23500706;23715462;23954672;24231886;24556894;24919763;25290276;25626250;25898320;
Comoros;COM;Population, female;SP.POP.TOTL.FE.IN;262867;269505;276169;282854;289619;296524;303613;310902;318386;326070;333967;342069;350390;358914;367616;376437;385346;394323;403368;412488;421681;430942;
Cabo Verde;CPV;Population, female;SP.POP.TOTL.FE.IN;218290;222169;225856;229315;232491;235318;237746;239751;241392;242887;244546;246578;249091;251994;255181;258457;261670;264791;267873;270898;273900;276871;
Costa Rica;CRI;Population, female;SP.POP.TOTL.FE.IN;1934770;1973722;2009976;2043743;2075608;2106442;2136918;2167187;2197124;2226713;2255890;2284596;2312869;2340768;2368302;2395474;2422275;2448697;2474720;2500214;2525022;2549038;
Caribbean small states;CSS;Population, female;SP.POP.TOTL.FE.IN;3198540;3220485;3243493;3267294;3291553;3315744;3339433;3362569;3385282;3407879;3430757;3454274;3478492;3503211;3528134;3552848;3576969;3600422;3623204;3645305;3666800;3687636;
Cuba;CUB;Population, female;SP.POP.TOTL.FE.IN;5555567;5579325;5599861;5617539;5631843;5642192;5648371;5649794;5647112;5642859;5640438;5642215;5649261;5660661;5674335;5687218;5697027;5703178;5706299;5706812;5705556;5703148;
Curacao;CUW;Population, female;SP.POP.TOTL.FE.IN;73898;71010;68467;68530;69932;71178;73133;75259;77056;78357;79155;80376;81662;82412;83375;84504;85606;86480;86707;86194;85105;83687;
Cayman Islands;CYM;Population, female;SP.POP.TOTL.FE.IN;;;;;;;;;;;;;;;;;;;;;;;
Cyprus;CYP;Population, female;SP.POP.TOTL.FE.IN;459549;467861;475702;483117;490494;498402;507183;517084;527828;538701;548672;557035;563479;568305;572061;575624;579592;584159;589134;594287;599277;603847;
Czech Republic;CZE;Population, female;SP.POP.TOTL.FE.IN;5281796;5266235;5246228;5236213;5234396;5234198;5237526;5245284;5267484;5302056;5324016;5333376;5340831;5346869;5348559;5354302;5364266;5373114;5385332;5400916;5419777;5430813;
Germany;DEU;Population, female;SP.POP.TOTL.FE.IN;42151293;42176244;42217345;42260203;42256846;42221838;42172464;42099593;42017960;41912739;41781451;41692491;40903005;40956600;41043963;41187119;41511610;41808130;41919970;42000374;42053302;42052957;
Djibouti;DJI;Population, female;SP.POP.TOTL.FE.IN;347724;356818;365248;373214;380252;385823;389622;391324;391252;390538;390778;393102;397940;404927;413398;422312;430881;438940;446703;454211;461610;469009;
Dominica;DMA;Population, female;SP.POP.TOTL.FE.IN;;;;;;;;;;;;;;;;;;;;;;;
Denmark;DNK;Population, female;SP.POP.TOTL.FE.IN;2689192;2697501;2706617;2714812;2721780;2728329;2735229;2743473;2754784;2770023;2783770;2794956;2805142;2814288;2824671;2837901;2857267;2879322;2897965;2912704;2923597;2932556;
Dominican Republic;DOM;Population, female;SP.POP.TOTL.FE.IN;4163185;4226670;4287804;4346856;4404718;4462660;4521595;4581822;4643110;4705133;4767298;4829193;4890693;4951906;5012859;5073656;5134308;5194798;5254937;5314402;5372759;5429698;
Algeria;DZA;Population, female;SP.POP.TOTL.FE.IN;15103751;15311139;15516424;15721105;15930173;16149500;16383693;16634748;16903082;17189426;17493858;17816091;18155827;18512336;18884019;19268759;19664129;20069497;20482418;20896422;21303388;21697235;
East Asia & Pacific (excluding high income);EAP;Population, female;SP.POP.TOTL.FE.IN;884157429;892916011;901206143;909065440;916559141;923817715;931006562;937967542;944670533;951343241;958031533;964791930;972160076;980570336;989024716;997277264;1005169744;1012949459;1020904525;1027886472;1034068577;1039345328;
Early-demographic dividend;EAR;Population, female;SP.POP.TOTL.FE.IN;1190584075;1212308413;1233744966;1254938500;1275981552;1297025477;1318171360;1339450802;1360848268;1382327531;1403833510;1425370720;1446916732;1468227133;1489472543;1510638086;1531698598;1552614909;1573372957;1594049611;1614705840;1635355364;
East Asia & Pacific;EAS;Population, female;SP.POP.TOTL.FE.IN;999999762;1009397969;1018397650;1026863908;1034866385;1042552998;1050124224;1057621022;1064821279;1072175432;1079387947;1086631480;1094391249;1103237031;1112080820;1120757122;1129081837;1137258909;1145535218;1152831495;1159312971;1164640503;
Europe & Central Asia (excluding high income);ECA;Population, female;SP.POP.TOTL.FE.IN;203181673;203309734;203231241;203130856;203287629;203547659;203829953;204174397;204590210;205239699;206114547;207163804;208285539;209403167;210636329;211863236;213121263;214327404;215435099;216402980;217303048;217972716;
Europe & Central Asia;ECS;Population, female;SP.POP.TOTL.FE.IN;443612288;444130406;444664251;445444693;446587801;447897390;449242978;450619388;452232578;454096042;455897349;457626052;458703977;460471215;462552549;464655237;466723082;468708054;470424222;471973283;473206187;474225863;
Ecuador;ECU;Population, female;SP.POP.TOTL.FE.IN;6195757;6315964;6433427;6548517;6662346;6776510;6892161;7009987;7129752;7250590;7371185;7490761;7608327;7724581;7842413;7965751;8097063;8237882;8386318;8537161;8683170;8819233;
Egypt, Arab Rep.;EGY;Population, female;SP.POP.TOTL.FE.IN;33529872;34181137;34828098;35475154;36122892;36772336;37425951;38080826;38741311;39425763;40158284;40955024;41822894;42753933;43730649;44727504;45724871;46717301;47706815;48690128;49665477;50631541;
Euro area;EMU;Population, female;SP.POP.TOTL.FE.IN;164362827;164860643;165438288;166178393;167009401;167867357;168690331;169451541;170319922;171152443;171711722;172117073;171743939;172120855;172699612;173270760;173749423;174187217;174474165;174763955;174820234;174951542;
Eritrea;ERI;Population, female;SP.POP.TOTL.FE.IN;1124147;1151345;1192142;1244879;1304366;1363325;1416324;1461749;1500626;1533460;1561642;1586365;1607405;;;;;;;;;;
Spain;ESP;Population, female;SP.POP.TOTL.FE.IN;20576752;20652809;20777799;21052590;21415094;21766582;22117853;22476408;22879380;23235239;23439021;23555788;23661705;23710580;23671467;23635055;23640092;23669889;23723820;23818485;23978634;24085958;
Estonia;EST;Population, female;SP.POP.TOTL.FE.IN;742625;745418;740578;736352;732515;728900;725196;721037;717571;715266;713447;711411;708917;706072;703157;700674;700146;698980;698154;698776;699659;699630;
Ethiopia;ETH;Population, female;SP.POP.TOTL.FE.IN;32263002;33205382;34174168;35166728;36182058;37217654;38272232;39345273;40439539;41560859;42716829;43912483;45150001;46426769;47737068;49072577;50426864;51797604;53185201;54589146;56009719;57446748;
European Union;EUU;Population, female;SP.POP.TOTL.FE.IN;220073662;220316701;220571383;221028269;221760299;222544119;223297589;224000989;224743272;225460995;225990908;226293768;225875226;226182177;226699908;227220503;227650560;228051160;228313071;228584066;228628529;228683985;
Fragile and conflict affected situations;FCS;Population, female;SP.POP.TOTL.FE.IN;279229344;286089586;293268922;300732727;308449230;316365183;324439465;332660096;341040366;349633805;358408768;367333837;376474425;385816796;395300093;404845280;414405979;423939238;433481218;443194766;453270846;463837998;
Finland;FIN;Population, female;SP.POP.TOTL.FE.IN;2645100;2649364;2654110;2659222;2664209;2670583;2678373;2687312;2697418;2708636;2720215;2731215;2742371;2753865;2764999;2774944;2782702;2789446;2794857;2797516;2799598;2802648;
Fiji;FJI;Population, female;SP.POP.TOTL.FE.IN;396804;399035;400248;400580;400598;401094;402598;405414;409282;413666;417719;420873;422919;424107;424843;425740;427260;429493;432310;435565;438996;442426;
France;FRA;Population, female;SP.POP.TOTL.FE.IN;31140700;31366712;31609073;31853822;32093648;32341282;32592276;32821949;33023327;33203347;33368664;33528500;33686256;33845372;34017119;34178119;34302345;34399175;34508584;34614021;34698686;34771320;
Faroe Islands;FRO;Population, female;SP.POP.TOTL.FE.IN;;;;;;;;;;;;;;;;;;;;;;;
Micronesia, Fed. Sts.;FSM;Population, female;SP.POP.TOTL.FE.IN;53146;53036;52924;52813;52685;52478;52196;51808;51367;50952;50694;50675;50937;51446;52122;52855;53543;54189;54793;55368;55944;56541;
Gabon;GAB;Population, female;SP.POP.TOTL.FE.IN;604207;618056;632195;646740;661899;677959;695156;713412;732793;753750;776855;802430;830699;861328;893274;925129;955859;985073;1012977;1039899;1066386;1092874;
United Kingdom;GBR;Population, female;SP.POP.TOTL.FE.IN;30107684;30195954;30288314;30388688;30500243;30644479;30828271;31031764;31253394;31481382;31701785;31931743;32161519;32364469;32560344;32780144;33021393;33254646;33464674;33652378;33827559;34004276;
Georgia;GEO;Population, female;SP.POP.TOTL.FE.IN;2184417;2140305;2105580;2085160;2069787;2056012;2042359;2030613;2020311;2014643;1997132;1982528;1966089;1950656;1943649;1943635;1946270;1947584;1948480;1948659;1946307;1948482;
Ghana;GHA;Population, female;SP.POP.TOTL.FE.IN;9318370;9548140;9783588;10024594;10272585;10529202;10795452;11072180;11358621;11652113;11948891;12246228;12543077;12840075;13138221;13439246;13744367;14053716;14366665;14682873;15001772;15322946;
Gibraltar;GIB;Population, female;SP.POP.TOTL.FE.IN;;;;;;;;;;;;;;;;;;;;;;;
Guinea;GIN;Population, female;SP.POP.TOTL.FE.IN;4207399;4306936;4400834;4490274;4578296;4669211;4766168;4870609;4981776;5097790;5215735;5333703;5450929;5568785;5690062;5818608;5957128;6106627;6266010;6433224;6605171;6779558;
Gambia, The;GMB;Population, female;SP.POP.TOTL.FE.IN;640507;661441;683177;705781;729073;752805;776828;801066;825627;850683;876500;903279;931060;959817;989462;1019942;1051160;1083106;1115804;1149215;1183332;1218124;
Guinea-Bissau;GNB;Population, female;SP.POP.TOTL.FE.IN;607784;620459;634097;648621;663905;679741;695971;712541;729537;747084;765378;784555;804636;825548;847112;869094;891313;913702;936281;959059;982054;1005303;
Equatorial Guinea;GNQ;Population, female;SP.POP.TOTL.FE.IN;281427;291757;302531;313818;325703;338312;351730;365982;381027;396805;413231;430239;447795;465874;484414;503346;522589;542111;561894;581912;602159;622605;
Greece;GRC;Population, female;SP.POP.TOTL.FE.IN;5411214;5434805;5465525;5488927;5506400;5525544;5548456;5573215;5596681;5621068;5644328;5657982;5653410;5624374;5583564;5545785;5508921;5486068;5475485;5464776;5459276;5448528;
Grenada;GRD;Population, female;SP.POP.TOTL.FE.IN;51533;51694;51830;51948;52037;52107;52165;52206;52236;52288;52382;52560;52821;53164;53548;53939;54314;54665;54983;55287;55576;55853;
Greenland;GRL;Population, female;SP.POP.TOTL.FE.IN;;;;;;;;;;;;;;;;;;;;;;;
Guatemala;GTM;Population, female;SP.POP.TOTL.FE.IN;5756928;5902947;6049228;6191267;6328081;6463571;6598227;6731790;6864151;6995448;7125868;7255549;7386480;7516771;7647888;7779044;7909392;8039125;8168449;8297605;8425530;8552130;
Guam;GUM;Population, female;SP.POP.TOTL.FE.IN;75034;75896;76550;77000;77292;77485;77658;77810;77952;78095;78254;78416;78597;78815;79087;79451;79934;80538;81252;82047;82858;83643;
Guyana;GUY;Population, female;SP.POP.TOTL.FE.IN;377050;374624;373068;372163;371852;371948;372284;372888;373823;374966;376211;377477;378715;379930;381144;382395;383716;385101;386540;388008;389504;391010;
High income;HIC;Population, female;SP.POP.TOTL.FE.IN;541565067;544791109;548148976;551583505;554917964;558397474;561924123;565734820;569724745;573992624;577781900;581203774;583625458;586824901;590104786;593472488;596705596;599874103;602606936;605112193;607295985;610072709;
Hong Kong SAR, China;HKG;Population, female;SP.POP.TOTL.FE.IN;3342651;3386423;3426269;3456918;3465906;3509015;3540102;3578263;3624088;3660041;3681158;3720452;3756506;3808024;3832276;3867733;3909083;3941508;3978989;4018506;4056162;4049102;
Honduras;HND;Population, female;SP.POP.TOTL.FE.IN;3216618;3305010;3393288;3481411;3569279;3656850;3744050;3830839;3917032;4002312;4086319;4168823;4249670;4329000;4407287;4485195;4563218;4641497;4719923;4798492;4877121;4955728;
Heavily indebted poor countries (HIPC);HPC;Population, female;SP.POP.TOTL.FE.IN;230746260;237184858;243907827;250894991;258117296;265526841;273091016;280803366;288684314;296759745;305066477;313631232;322458787;331541196;340876212;350457783;360278753;370341386;380639799;391147790;401831117;412664816;
Croatia;HRV;Population, female;SP.POP.TOTL.FE.IN;2338795;2317290;2230499;2231847;2232061;2232132;2234538;2234730;2233971;2233583;2231322;2226588;2219546;2213678;2208465;2200161;2182274;2166691;2139934;2119654;2106578;2096153;
Haiti;HTI;Population, female;SP.POP.TOTL.FE.IN;4223357;4296267;4369302;4442475;4515915;4589794;4664202;4739173;4814610;4890335;4966143;5041823;5117317;5192578;5267506;5342001;5415970;5489355;5562083;5634138;5705483;5776088;
Hungary;HUN;Population, female;SP.POP.TOTL.FE.IN;5363497;5353038;5343996;5331733;5319049;5309383;5300395;5293164;5285470;5276249;5267700;5255083;5239155;5210802;5194900;5179290;5165373;5148625;5133501;5125566;5121750;5109117;
IBRD only;IBD;Population, female;SP.POP.TOTL.FE.IN;1944199417;1967142172;1989494995;2011414667;2033161078;2054730012;2076224448;2097501521;2118524056;2139707545;2161105345;2182451738;2204627859;2227908943;2251305841;2274341662;2296834774;2318977960;2341000685;2361678188;2381198297;2399328719;
IDA & IBRD total;IBT;Population, female;SP.POP.TOTL.FE.IN;2467239288;2503205398;2538743529;2574033010;2609372004;2644812304;2680486688;2716284600;2752175674;2788529147;2825323874;2862393072;2900426609;2939579489;2979108517;3018619612;3057985044;3097396105;3137055143;3175761712;3213714924;3250647392;
IDA total;IDA;Population, female;SP.POP.TOTL.FE.IN;523039871;536063226;549248534;562618343;576210926;590082292;604262240;618783079;633651618;648821602;664218529;679941334;695798750;711670546;727802676;744277950;761150270;778418145;796054458;814083524;832516627;851318673;
IDA blend;IDB;Population, female;SP.POP.TOTL.FE.IN;173280033;177557924;181834253;186133286;190483561;194934802;199521097;204259272;209161387;214216416;219394927;224835098;230359556;235807878;241364771;247032207;252796507;258645274;264567010;270574126;276675894;282852973;
Indonesia;IDN;Population, female;SP.POP.TOTL.FE.IN;104252992;105659995;107066152;108470613;109875997;111283965;112697081;114113394;115537042;116983222;118471487;120013721;121616719;123270656;124949892;126618711;128250415;129835522;131378183;132882052;134355806;135805760;
IDA only;IDX;Population, female;SP.POP.TOTL.FE.IN;349759838;358505302;367414281;376485057;385727365;395147490;404741143;414523807;424490231;434605186;444823602;455106236;465439194;475862668;486437905;497245743;508353763;519772871;531487448;543509398;555840733;568465700;
Isle of Man;IMN;Population, female;SP.POP.TOTL.FE.IN;;;;;;;;;;;;;;;;;;;;;;;
India;IND;Population, female;SP.POP.TOTL.FE.IN;498372774;507187684;515957249;524676537;533346647;541973982;550557711;559099816;567579951;575948779;584142641;592116982;599851346;607359892;614676458;621852998;628929060;635912563;642796257;649586703;656288184;662903415;
Not classified;INX;Population, female;SP.POP.TOTL.FE.IN;;;;;;;;;;;;;;;;;;;;;;;
Ireland;IRL;Population, female;SP.POP.TOTL.FE.IN;1889591;1913728;1942601;1973324;2003466;2038846;2083266;2140952;2205554;2253499;2279251;2294319;2306846;2319082;2333444;2352024;2374896;2401335;2426140;2454369;2486201;2510556;
Iran, Islamic Rep.;IRN;Population, female;SP.POP.TOTL.FE.IN;31829262;32235845;32635113;33032452;33433618;33845529;34272736;34720281;35186535;35661229;36129675;36582329;37012837;37427003;37841907;38281566;38762065;39289457;39854902;40441309;41024003;41584547;
Iraq;IRQ;Population, female;SP.POP.TOTL.FE.IN;11302612;11645105;11993807;12348005;12696366;13023971;13322742;13582225;13811949;14047922;14339392;14719558;15204594;15778329;16401828;17018736;17588528;18097667;18558853;18989537;19417975;19864725;
Iceland;ISL;Population, female;SP.POP.TOTL.FE.IN;138548;140483;142368;143616;144563;145744;147947;151293;154970;157686;158089;157818;158355;159343;161042;163018;164840;167175;171121;175696;179525;182394;
Israel;ISR;Population, female;SP.POP.TOTL.FE.IN;3106819;3190138;3266030;3331871;3391731;3451315;3511856;3573824;3637320;3701864;3790320;3858472;3927993;3998134;4069967;4145229;4224621;4304840;4385803;4467882;4550763;4628474;
Italy;ITA;Population, female;SP.POP.TOTL.FE.IN;29369602;29386547;29391908;29412462;29515905;29686364;29825093;29924053;30098000;30326738;30489592;30596015;30647051;30716752;31053693;31315785;31262660;31188515;31121471;31042688;30667514;30504672;
Jamaica;JAM;Population, female;SP.POP.TOTL.FE.IN;1323675;1334328;1344878;1355253;1365193;1374337;1382458;1389410;1395341;1400790;1406493;1412952;1420363;1428546;1437226;1445931;1454324;1462325;1470007;1477400;1484557;1491520;
Jordan;JOR;Population, female;SP.POP.TOTL.FE.IN;2419664;2467365;2515778;2565875;2623759;2697018;2791043;2906651;3042189;3197087;3369863;3558032;3762256;3978958;4196092;4397998;4573163;4717553;4833068;4921841;4988482;5037161;
Japan;JPN;Population, female;SP.POP.TOTL.FE.IN;64416945;64552936;64736064;64913526;65078804;65126621;65158465;65225372;65325526;65381234;65395181;65426533;65322325;65232461;65150796;65075452;65016722;64951468;64853783;64731350;64605360;64395674;
Kazakhstan;KAZ;Population, female;SP.POP.TOTL.FE.IN;7740985;7725228;7715305;7715011;7737515;7786595;7850972;7929187;8014813;8160735;8318892;8432713;8550670;8669275;8792736;8920772;9049058;9174836;9296108;9414472;9532235;9652308;
